Name,detail
รองเท้าคู่โปรดของปลาวาฬ,เด็กชายปลาวาฬ<_>ผู้ไม่รักความสะอาด<_>ปลาวาฬไม่ชอบซักเสื้อผ้าและทำความสะอาดห้องเลย<_>โดยเฉพาะรองเท้าผ้าใบที่ใส่ไปโรงเรียนและวิ่งเล่นทุกวัน<_>อยู่มาวันหนึ่งปลาวาฬใส่รองเท้าไปวิ่งเล่นฟุตบอลจนรองเท้าเลอะเปื้อนโคลนเต็มไปหมด<_>ปลาวาฬกลับถึงบ้านก็ถอดรองเท้าทิ้งไว้ที่หน้าบ้าน<_>คืนนั้นขณะที่ปลาวาฬนอนหลับ<_>รองเท้าจึงตัดสินใจหนีออกจากบ้านไปที่ลำธารใกล้<_>ๆ<_>บ้าน<_>เพื่ออาบน้ำชำระร่างกายของตนเองให้สะอาดและมีกลิ่นหอมเหมือนรองเท้าคู่อื่น<_>แต่ในขณะที่รองเท้ากำลังว่ายน้ำอยู่มันก็ได้พบกับกบน้อยและกระดี่ทั้งสามจึงพูดคุยกัน<_>รองเท้าจึงเล่าให้ฟังว่ามันหนีมาอาบน้ำให้สะอาดก่อนที่เจ้านายจะตื่น<_>แต่ปัญหาของมันคือมันไม่สามารถขัดถูตัวเองสะอาด<_>รองเท้าจะทำอย่างไรติดตามได้ในรายการ<ชื่อรายการ>
ปลากระโห้กับลิงน้อย,ณ<_>บึงน้ำในป่าใหญ่<_>ที่เป็นแหล่งอาศัยของปลานานาชนิด<_>แต่ปลาที่ชอบแหวกว่ายเที่ยวไปทั่วบึงก็คือ<_>ปลากระโห้<_>อยู่มาวันหนึ่งปลากระโห้ว่ายน้ำเข้ามาใกล้ต้นไม้ใหญ่ซึ่งเป็นบ้านของลิงน้อย<_>เมื่อลิงน้อยเห็นปลากระโห้บ่อย<_>ๆ<_>มันก็จะนำอาหารมาแบ่งให้ปลากระโห้เป็นประจำทั้งสองจึงกลายเป็นเพื่อนรักกันและดีต่อกัน<_>ปลากระโห้คิดว่าตัวเองโชคดีที่มีลิงน้อยเป็นเพื่อนมันจึงสัญญา<_>และให้สัจจะของปลากระโห้อย่างฉันว่า<_>ฉันจะเป็นเพื่อนรักของลิงน้อยตลอดไป<_>หากวันไหนนายเดือดร้อนฉันจะช่วยเหลือแบบไม่คิดชีวิตเลย<_>อยู่มาวันหนึ่งในขณะที่ลิงน้อยกับปลากระโห้กำลังกินผลไม้กันอย่างเอร็ดอร่อย<_>ปรากฏว่ามีนายพรานใจร้ายผ่านเข้ามาในป่า<_>เมื่อเห็นลิงน้อยนายพรานก็คิดจะจับมันไปขาย<_>ลิงน้อยตกใจและเตรียมจะวิ่งหนี<_>แต่นายพรานไวกว่าจับตัวมันได้<_>ปลากระโห้จะช่วยลิงน้อยได้อย่างไรติดตามได้ในรายการ<ชื่อรายการ>
ม้าขาวผู้มองการณ์ไกล,ณ<_>ถ้ำบนภูเขาสูงแห่งหนึ่ง<_>ซี่งมีม้าอาศัยอยู่ร่วมกันเป็นจำนวนมาก<_>โดยมีม้าขาวเป็นหัวหน้าฝูงที่แสนจะเจ้าระเบียบเป็นที่สุด<_>ม้าขาวจะคอยสั่งการให้ทุกตัวทำหน้าที่ให้ดีซึ่งมันก็มีเหตุผลในการสั่งให้ลูกน้องทำงานทุกอย่าง<_>ในขณะที่ม้าแดง<_>และ<_>ม้าดำแอบบ่นบ่อย<_>ๆ<_>ว่าหัวหน้าใช้งานพวกมันหนักเกินไปเหนื่อยจะแย่<_>และคิดว่าทำไมพวกมันต้องทำงานหนัก<_>มันทั้งสองตัวจึงตกลงว่าจะเลิกฟังคำสั่งหัวหน้า<_>ม้าแดงกับม้าดำจึงหนีไปเที่ยว<_>ทิ้งให้เพื่อน<_>ๆ<_>ม้าตัวอื่นทำงานกันต่อไปเมื่อความมืดและความหนาวมาเยือน<_>จนหิมะเริ่มตกลงมาปกคลุมม้าแดงกับม้าดำจึงรีบวิ่งหนีความหนาวเย็นไปยังถ้ำเมื่อไปถึงหน้าถ้ำก็<_>เจอกับม้าขาวยืนประจันหน้าขวางทางเข้าอยู่<_>ม้าดำกับม้าแดงจึงตกใจมาก<_>ทำไมหัวหน้าจึงใช้ให้ลูกน้องทำงานหนัก<_>ติดตามได้ในรายการ<ชื่อรายการ>
ห้องใหม่ของตุ่นน้อย,ณ<_>โพรงดินบ้านของครอบครัวตุ่นทุก<_>ๆ<_>เช้าจะมีเสียงโครมครามดังขึ้นจนทำให้ใครที่ได้ยินไม่แปลกใจที่มาของเสียงเท่าไหร่นัก<_>เพราะคุ้นชินกับเสียงล้มตึงตังของตุ่นน้อยพี่สาวของตุ่นจิ๋ว<_>ในห้องนอนของตุ่นน้อยรกรุงรังมีข้าวของกองเต็มไปหมดจนไม่มีที่ว่างให้เดิน<_>แม่ตุ่นอยากให้ตุ่นน้อยทำความสะอาดห้องเก็บของให้เข้าที่เข้าทางจะได้ไม่เดินชนล้มอีก<_>ตอนนี้ตุ่นน้อยมีแผลเต็มตัวไปหมดเพราะเกิดจากการหกล้มทุกวัน<_>ส่วนตุ่นจิ๋วชอบพูดว่าห้องของตุ่นน้อยรกยังกับรังหนูระวังแมลงสาบจะมาเยือน<_>ตุ่นจิ๋วและตุ่นน้อยเถียงกันไปมาจนแม่ต้องห้ามและขอให้ตุ่นน้อยดูแลห้องนอนของตัวเอง<_>ตุ่นน้อยจะเปลี่ยนนิสัยตัวเองได้อย่างไรติดตามได้ในรายการ<ชื่อรายการ>
นักเรียนของครูหมี,โรงเรียนอนุบาลแสนสุขกำลังจะจัดการแข่งขันประกวดการไหว้ประจำปีของเด็กนักเรียน<_>ซึ่งปีนี้มีนักเรียนสนใจสมัครเข้าร่วมประกวดจำนวนมาก<_>ลิงน้อยชักชวนแพนด้าน้อยเข้าร่วมประกวดแต่แพนด้าน้อยไม่มั่นใจว่าที่มันไหว้อยู่ทุกวันถูกต้องตามหลักการไหว้หรือเปล่าจึงกล้า<_>ๆ<_>กลัว<_>ๆ<_>ที่จะสมัครเข้าประกวด<_>แต่ลิงน้อยบอกให้มั่นเพราะมันจะขอให้คุณครูหมีช่วยสอนให้<_>หลังตกลงร่วมกันทั้งสองจึงไปตามหาครูหมีและบอกถึงความต้องการของมันทั้งสอง<_>วันรุ่งขึ้นลิงน้อยและแพนด้าน้อยจึงมาเรียนการไหว้อย่างถูกต้องกับครูหมี<_>ลิงน้อยและแพนด้าจะฝึกไห้วได้อย่างถูกต้องและชนะการประกวดหรือไม่ติดตามได้ในรายการ<ชื่อรายการ>
ปุ๊บปั๊บ<_>จ๋อจอมซน,ปุ๊บปั๊บลิงจ๋อจอมซนตัวเล็ก<_>ๆ<_>ไม่ชอบอยู่นิ่งๆ<_>แต่ชอบวิ่งเล่นกระโดดไปมา<_>หยิบโน่นจับนี่มาโยนเล่น<_>เล่นแค่ประ<_>เดี๋ยวเดียวปุ๊บปั๊บก็เปลี่ยนใจ<_>และปุ๊ปปั๊บก็เป็นตัวป่วนในโรงเรียน<_>วันหนึ่งเขาได้วางแผนแกล้งเพื่อนๆ<_>คุณหมู<_>คุณไก่<_>จนทำให้เพื่อนๆ<_>ไม่มีถุงเท้าใส่รองเท้ากัดจนเลือดออก<_>คุณครูสังเกตเห็นความผิดปกติจึงได้เรียกปุ๊ปปั๊ปไปสอบถาม<_>เหตุการณ์จะเป็นอย่างไร<_>และปุ๊ปปั๊ปจะสำนึกผิดที่แกล้งเพื่อนๆ<_>หรือไม่<_>ติดตามฟังพร้อมเรียนรู้ศัพท์ภาษาอังกฤษไปด้วยกันได้ที่<_>ThaiPBS<_>Podcast
ยักษ์เขี้ยวใหญ่,ณ<_>ปราสาทบนยอดเขาที่ไม่ห่างจากหมู่บ้านแสนสุขมากนัก<_>ที่นี่เป็นที่อาศัยของยักษ์ใหญ่ตนหนึ่งที่ชาวบ้านเล่าต่อ<_>ๆ<_>กันมาว่า<_>เป็นยักษ์เขี้ยวใหญ่ที่ดุร้ายใจคอโหดเหี้ยม<_>หากมันเห็นมนุษย์หรือสัตว์ที่ไหนมันก็จะจับกินเป็นอาหารทันที<_>อยู่มาวันหนึ่งยักษ์ใหญ่รู้สึกปวดฟันมากจนไม่สามารถกินอะไรได้เลย<_>มันนอนร้องโอ้ดโอ้ยอยู่ที่ปราสาท<_>เสียงร้องของมันได้ยินไปถึงหมู่บ้านแสนสุข<_>นกกระจิบได้ยินเสียงจึงบินไปสำรวจว่าเป็นเสียงใคร<_>เผื่อว่าเจ้าของเสียงต้องการความช่วยเหลือเจ้านกกระจบก็บินเข้าไปในป่า<_>และหยุดใกล้<_>ๆ<_>กับปราสาทของยักษ์เขี้ยวใหญ่<_>มันแอบดูจึงทำให้รู้ว่าเป็นเสียงร้องของยักษ์เขี้ยวใหญ่<_>นกกระจิบจะช่วยยักษ์ใหญ่ได้หรือไม่<_>ติดตามได้ในรายการ<ชื่อรายการ>
สามสีทำตามสัญญา,สามสีอยากให้เพื่อนเล่นด้วย<_>เลยสัญญาว่าจะเอาขนมมาฝากเพื่อนทุกคน<_>แต่เพื่อนชอบขนมไม่เหมือนกัน<_>สามสีเลยต้องเอามาหลายอย่างในคราวเดียวกัน<_>แถมต้องถืออย่างระมัดระวังด้วย<_>ไม่อย่างนั้นกล่องขนมจะคว่ำหกเละเทะ<_>นั้นทำให้สามสีเหนื่อยมาก<_>แล้วแบบนี้สามสีจะทำยังไงดี<_>ทั้งอยากให้เพื่อนเล่นด้วย<_>แต่ก็ต้องลำบากตัวเอง
กิ้งก่ายอดนักชิม,ณ<_>ป่าแสนสุข<_>ป่าใหญ่แห่งนี้สัตว์จำนวนมากอาศัยอยู่ร่วมกัน<_>ในทุก<_>ๆ<_>ปีก็จะมีการจัดงานเลี้ยงประจำปีของป่าโดยมีสิงโตเจ้าป่าเป็นผู้คัดเลือกอาหารที่จะเลี้ยงในงาน<_>ซึ่งป่านี้มีสัตว์อยู่ตัวหนึ่งที่ใคร<_>ๆ<_>ก็ยกย่องให้เป็นสุดยอดของนักชิมนั่นคือ<_>กิ้งก่ามันชอบทดลองชิมอาหารไปทั่วทุกหนทุกแห่ง<_>หากอาหารจานไหนที่กิ้งก่าชิมแล้วประกาศว่าอร่อย<_>ก็แปลว่าอาหารจานนั้นแสนอร่อยจริงๆ<_>ทำให้กิ้งก่าจึงถูกเชิญมาเป็นที่ปรึกษาจัดอาหารเลี้ยงสังสรรค์ในงานเลี้ยงประจำปี<_>กิ้งก่าเลือกอาหาร<_><ตัวเลข><_>จานที่คิดว่าเป็นอาหารที่ยอดเยี่ยมที่สุด<_>แต่เจ้าป่ากลับบ่นว่ากิ้งก่าไปชิมมาจนทั่วมีอาหารที่อร่อยแค่สามอย่างมันน้อยเกินไปที่สำคัญไม่มีเนื้อสัตว์เลย<_>แต่กิ้งก่ายืนยันว่าอาหารสามจานนี้ยอดเยี่ยมที่สุดแล้ว<_>อาหารทั้งสามจานคืออะไรและสิงโตจะทำอย่างไรต่อไปติดตามได้ในรายการ<ชื่อรายการ>
สะพานแห่งมิตรภาพ,ณ<_>ป่าใหญ่ที่มีแม่น้ำไหลผ่านแบ่งเขตกลางป่าเป็นสองฝั่งทำให้สัตว์ของทั้งสองฝั่งมีการแข่งขันและแย่งชิงเพื่อให้ฝั่งของตนได้รับชัยชนะและครอบครองแม่น้ำทั้งสาย<_>โดยป่าฝั่งซ้ายมีสิงโตที่ร่างกายแข็งแรงและเป็นที่เกรงกลัวของสัตว์ในป่าเป็นหัวหน้า<_>ส่วนฝั่งขวามีเสือตัวใหญ่ที่มีพวกจำนวนมากเป็นหัวหน้า<_>ทั้งสองท้าประลองความสามารถโดยให้หนูตัวเล็กเป็นกรรมการตัดสิน<_>โดยเลือกให้ทั้งสองวิ่งแข่งไปที่บนยอดเขา<_>ใครไปถึงจุดหมายก่อนชนะ<_>เมื่อสัญญาณปล่อยตัวดังขึ้นทั่งคู่วิ่งแข่งกันแบบชนิดไม่มีใครยอมใคร<_>วิ่งมาได้สักระยะราชสีห์และเสือเริ่มมีอาหารเหนื่อยหอบ<_>เมื่อมาถึงทางลาดชัน<_>อีกนิดเดียวก็จะถึงยอดเขารำไรข้างหน้า<_>แต่ทั้งคู่เริ่มตาพร่าคล้ายจะเป็นลมเสือละราชสีห์ใครจะเป็นผู้ชนะติดตามได้ในรายการ<ชื่อรายการ>
ตัวอ้นกลับใจ,ณ<_>ชายป่าหรรษายังมีบ้านหลังเล็ก<_>ๆ<_>ที่มีตัวอ้นสามพี่น้องอาศัยอยู่<_>พวกมันมีนิสัยชอบกลั่นแกล้งผู้อื่นเสมอจนสัตว์ตัวอื่น<_>ๆ<_>เบื่อและไม่อยากพูดคุยกับพวกมัน<_>วันนี้พวกทั้งสามอ้นกำลังเตรียมตัวและวางแผนที่จะไปแกล้งสัตว์ตัวอื่น<_>ๆ<_>อ้นกลางคิดว่าจะเอาสีไปทาก้นลุงหมีขนสีน้ำตาลให้กลายเป็นหมีสีชมพู<_>อ้นใหญ่จะเอาลูกของป้าเป็ดไปซ่อนซักตัวสองตัว<_>ส่วนอ้นเล็กจะไปแกล้งป้าเต่าผู้ต้วมเตี้ยม<_>โดยจะพาวิ่งเร็วให้เป็นกระต่าย<_>หลังตกลงกันแล้วทั้งสามจึงแยกย้ายกันไปแกล้งสัตว์ตัวอื่น<_>ๆ<_>เป็นอย่างนี้ทุก<_>ๆ<_>วันจนไม่มีใครอยากพูดและเล่นกับอ้นทั้งสาม<_>เพราะเบื่อกับนิสัยชอบแกล้งและเกเรของพวกมัน<_>อ้นทั้งสามจะกลับใจได้อย่างไรติดตามได้ในรายการ<ชื่อรายการ>
สามเกลอกับอาหารจานโปรด,ณ<_>ชายหาดท้องทะเลสีคราม<_>มีบ้านหลังเล็ก<_>ๆ<_>หลังหนึ่งเป็นที่อาศัยของสามเกลอ<_>ก็คือ<_>พี่โลมา<_>พี่วาฬ<_>และ<_>พี่เหลือม<_>ทุก<_>ๆ<_>เช้าทั้งสามก็จะวุ่นวายกับอาหารของแต่ละตัวเป็นอย่างมาก<_>โดยเฉพาะพี่วาฬที่มีปัญหาเรื่องท้องผูก<_>เพราะเลือกกินอาหารที่ไม่มีประโยชน์<_>ทั้งสามจึงตกลงกันว่าจะช่วยกันปลูกผักไว้กินและช่วยกันคิดเมนูโปรดที่มีประโยชน์<_>หลังจากช่วยกันปลูกผักแล้วทั้งสามก็จะช่วยกันทำอาหารจานโปรดของแต่ละตัว<_>พี่เหลือมขอทำข้าวผัดสามเกลอโดยคิดสูตรเองใส่ถั่วลันเตา<_>แครอท<_>และข้าวโพด<_>พี่โลมาเลือกทำทำสปาร์เก็ตตี้น้ำแดงหรือว่าปอเปี้ยะทอด<_>ส่วนพี่วาฬจะเลือกเมนูอะไรติดตามได้ในรายการ<ชื่อรายการ>
แมลงปอจอมโม้,ณ<_>ทุ่งดอกไม้แสนสวยงาม<_>ที่เต็มไปด้วยดอกไม้นานาชนิดที่กำลังแข่งกันเบ่งบานโชว์สีสันอย่างเต็มที่<_>บรรยากาศทั่วทุ่งดอกไม้สวยงามทำให้มีแมลงต่าง<_>ๆ<_>จำนวนมากบินตรงมายังทุ่งดอกไม้แห่งนี้<_>ด้วยกลิ่นเกสรดอกไม้ที่หอมหวานที่เป็นแรงจูงใจให้<_>ผีเสื้อ<_>แมลงปอ<_>และ<_>ตัวด้วง<_>มากินน้ำหวานจากเกสรดอกไม้<_>พวกมันมักโอ้อวดว่าพวกมันมีความสำคัญกับทุ่งดอกไม้<_>แมลงปอมีปีกตั้ง<_><ตัวเลข><_>ปีก<_>บางคนเรียกมันว่า<_>นักล่าแห่ง<_>เวหา<_>เพราะบินเร็ว<_>บินได้สูงและไกลถึง<_><ตัวเลข><_>ก.ม.<_>การขยับปีกขึ้น-ลงของฉันจะใช้ความเร็วเฉลี่ยประมาณ<_><ตัวเลข><_>ครั้งต่อวินาทีเลยนะ<_>ในประเทศไทยก็มีมีการค้นพบว่าแมลงปออย่างพวกฉันมีเกือบ<_><ตัวเลข><_>ชนิดเลยนะ<_>ส่วนตัวด้วงและผีเสื้อจะมีความสำคัญอย่างไรติดตามได้ในรายการ<ชื่อรายการ>
นกฮูกน้อยกับคุณนาฬิกา,กริ๊งๆๆ<_>เสียงนาฬิกาปลุกของนกฮูกน้อยดังขึ้นเพื่อปลุกนกฮูกน้อยให้รีบตื่นไปโรงเรียน<_>นกฮูกน้อยยังงัวเงียไม่อยากตื่น<_>จึงดึงเอาหมอนมาปิดหูเพื่อไม่ให้ได้ยินเสียงดังของนาฬิกาปลุก<_>แต่ก็ไม่ได้ผลเพราะเสียงนาฬิกาปลุกยังดังเหมือนเดิม<_>ฮูกน้อยจึงจับคุณนาฬิกาโยนลงพื้นด้วยความโมโหที่ต้องตื่นนอนในเวลาที่มันยังไม่อยากตื่น<_>คุณนาฬิกาจึงบอกว่ามันหยุดเตือนไม่ได้เพราะการส่งเสียงปลุกเตือนเป็นหน้าที่ของมันและอยากให้เข้าใจว่าเราต่างมีหน้าที่ของตัวเอง<_>ส่วนหน้าที่ของฮูกน้อยคือตื่นนอนตรงเวลาและไปเรียนหนังสือ<_>นกฮูกน้อยจึงรีบอาบแต่งตัวไปถึงโรงเรียนพอเจอกับกระรอกน้อยเพื่อนสนิท<_>จึงรู้ว่ามันลืมเอาสมุดการบ้านมา<_>ฮูกน้อยจะทำอย่างไรติดตามได้ในรายการ<ชื่อรายการ>
โทนเป็นนกนะ,โทนเป็ดน้อยตัวเล็กน่ารัก<_>ชอบเล่นในบึงและทุ่งกว้าง<_>และใช้เวลากับอยู่เพื่อน<_>ๆ<_>อยู่มาวันหนึ่งขณะที่โทนกำลังเล่นอยู่ข้างนอก<_>เขาเงยหน้าขึ้นมองท้องฟ้าและเห็นฝูงนกสวยงามบินอยู่บนท้องฟ้าเหนือต้นไม้<_>โทนจึงหวังว่าสักวันหนึ่งเขาจะบินได้เหมือนนกพวกนั้น<_>จึงเล่าให้เพื่อน<_>ๆ<_>ฟัง<_>เพื่อน<_>ๆได้แต่คิดว่าโทนเพี้ยนและแปลกไปจากเพื่อน<_>ๆ<_>ทำให้โทนมักจะแยกตัวอยู่ตัวเดียว<_>จนกระทั่งโทนไปพบกับคุณลุงนกอินทรีผู้ที่จะทำให้ชีวิตของโทนเปลี่ยนไปตลอดกาล<_>ชีวิตของโทนจะเป็นอย่างไรนั้นติดตามฟังพร้อมเรียนรู้ศัพท์ภาษาอังกฤษไปด้วยกันได้ที่<_>ThaiPBS<_>Podcast
สามตัวจอมวุ่น,ณ<_>บ้านหลังใหญ่<_>เหมียวจอมยุ่งกระโดดไปมาบริเวณรอบหน้าต่าง<_>เพราะต้องการส่งเสียงเรียกร้องออกไปวิ่งเล่นเหมือนทุกเช้า<_>แต่เหมียวยังมีศัตรูตัวสำคัญคือเจ้าหมาแต้มจอมดุที่อยู่ข้างบ้านและคอยวิ่งไล่มันอยู่บ่อย<_>ๆ<_>วันนี้มันนั่งเฝ้าหน้าบ้านเพราะไม่อยากให้เหมียววิ่งผ่าน<_>เหมียวจึงบ่นกับมันว่าแต้มเป็นหมาที่ไม่มีน้ำใจ<_>ในขณะที่แต้มกำลังเห่าใส่เหมียว<_>เจ้าหนูตัวน้อยที่ใคร<_>ๆ<_>ก็เรียกมันว่าปีเตอร์ก็วิ่งผ่านหน้าเหมียวและแต้มไป<_>ความวุ่นวายจึงเกิดขึ้นไม่มีใครยอมใครทั้งสามจึงวิ่งไล่กันไปมา<_>เริ่มจากหนูปีเตอร์วิ่งนำหน้าเป็นตัวแรก<_>ตามด้วยเจ้าเหมียว<_>แล้วเจ้าแต้มรั้ง<_>หนูปีเตอร์<_>เจ้าเหมียวและ<_>เจ้าแต้มใครจะเป็ผู้ชนะติดตามได้ในรายการ<ชื่อรายการ>
สามสีรอเพื่อนด้วย,วันนี้เด็ก<_>ๆ<_>ทุกคนไปทัศนศึกษากันที่พิพิธภัณฑ์<_>ครูตาโตมอบโจทย์ให้ทุกคนสังเกต<_>จดจำ<_>และบันทึกลงในสมุดจด<_>แต่สามสีตื่นเต้นมาก<_>ไม่ยอมหยุดดูเหมือนเพื่อน<_>อยากจะไปดูที่ที่ตัวเองอยากดู<_>ทำให้หลงไปอีกทาง<_>จนเพื่อนต้องวุ่นวาตามหากันใหญ่<_>แล้วแบบนี้สามสีจะหาเพื่อนเจอไหม<_>และทำงานที่ครูตาโตหมอบหมายเสร็จหรือป่าว มาฟังกัน
ต.เต่า<_>ต้วมเตี้ยม,ณ<_>ป่าแสนสุขสัตว์ทุกตัวต่างเป็นมิตรที่ดีต่อกัน<_>และเที่ยวหยอกล้อทักทายเป็นเพื่อนบ้านที่ดี<_>ช่วงเวลาเย็น<_>ๆ<_>แดดร่มลมตกอากาศกำลังสบายไม่ร้อนจนเกินไป<_>บรรดาสัตว์ในป่าแห่งนี้ก็จะมารวมตัวกันที่ลานกลางป่าเพื่อพบปะพูดคุยและทำกิจกรรมต่าง<_>ๆ<_>วันนี้พวกมันมีนัดประชุมหารือเรื่องการเลือกวิธีทำให้สุขภาพดี<_>แม่ไก่เสนอให้ร้องเพลงทุกวันจะได้ทำให้ปอดแข็งแรง<_>กระต่ายเสนอให้กระโดดสูงจะได้ทำให้ขาแข็งแรง<_>ส่วนเสือดาวก็เสนอให้วิ่งแข่งกันเพื่อจะได้ออกแรงเยอะ<_>ๆ<_>ร่างกายจะได้มีการเผาผลาญไขมัน<_>หลากหลายความคิด<_>ส่วนเต่าก็เสนอการแข่งขันง่าย<_>ๆ<_>และมีประโยชน์มาก<_>แต่จะเป็นอะไรติดตามได้ในรายการ<ชื่อรายการ>
ลิงจ๋อจอมแสบ,ณ<_>โรงเรียนอนุบาลแสนสุข<_>วันนี้เป็นวันเปิดเทอมวันแรก<_>เด็ก<_>ๆ<_>ต่างพากันดีใจที่จะได้เจอเพื่อนๆ<_>และคุณครู<_>ทุกตัวจึงมีหน้าตายิ้มแย้มแจ่มใสและทักทายกันตลอดทางช้างน้อยมาโรงเรียนแต่เช้า<_>เพราะนัดกับ<_>จิงโจ้ไว้<_>เมื่อเจอกันแล้วก็มาเข้าแถวและเตรียมตัวเข้าห้องเรียน<_>โดยมีจิงโจ้เป็นหัวหน้าห้องครูนกฮูกแนะนำสมาชิกใหม่คือลิงจ๋อให้เพื่อน<_>ๆ<_>รู้จัก ลิงจ๋อเป็นลิงที่นิสัยไม่ค่อยดี<_>ชอบแกล้งเพื่อนไม่ตั้งใจเรียนหนังสือ<_>ลิงจ๋อย้ายมาจากโรงเรียนอื่นเพราะไม่มีใครคบและไม่มีใครเล่นด้วย<_>นั่นก็เพราะความซนและความเกเรของลิงจ๋อนั่นเอง<_>ลิงจ๋อจะเข้ากับเพื่อน<_>ๆ<_>ที่โรงเรียนใหม่ได้หรือไม่ติดตามได้ในรายการ<ชื่อรายการ>
แมวเหมียวจอมขยัน,กริ๊ง<_>ๆ<_>เสียงออดเข้าเรียนดังมาแต่ไกล<_>แมวเหมียวเข้ามาถึงห้องเรียนก่อนใคร<_>และรีบเปิดหนังสือเรียนรอคุณครูช้างผู้แสนใจดี<_>ที่จะเข้ามาสอนวิชาภาษาไทย<_>แต่เพื่อนๆ<_>ของแมวเหมียว<_>คือ<_>แมวดำ<_>และไก่โต้ง<_>ยังคงมัวแต่เดินเล่นอยู่ข้างนอกห้องเรียน<_>ไม่รีบเข้ามาในห้องเรียนแมวเหมียวจึงเร่งให้เพื่อน<_>ๆ<_>เข้าห้องเรียนก่อนที่คุณครูช้างจะเข้ามาทำให้เพื่อน<_>ๆ<_>บ่นว่าแมวเหมียวทำตัวเป็นเด็กดีและขยันตั้งใจเรียนมาก<_>คุณครูช้างก็เดินมาถึงห้องเรียนพอดีกับที่แมวดำและไก่โต้งรีบวิ่งมาที่โต๊ะเรียนของตนเอง<_>แต่ทั้งสองรีบวิ่งและชนกันจนล้มลุกคลุกคลาน<_>ทำให้เพื่อนๆในห้องหัวเราะกันใหญ่<_>หลังจากนั้นจะเกิดอะไรขึ้นติดตามได้ในรายการ<ชื่อรายการ>
ฝันร้ายของหมูอ้วน,วันนี้เป็นวันหยุดเด็ก<_>ๆ<_>ไม่ต้องไปโรงเรียน<_>แต่เด็ก<_>ๆ<_>ของหมูบ้านส่วนใหญ่ก็จะไปวิ่งเล่นกันที่สนามของหมูบ้าน<_>เจ้าหมูอ้วนกลับไม่ชอบมันเอาแต่นอนแล้วก็กิน<_>แถมขี้เกียจไม่ช่วยแม่ทำงานบ้านอีกด้วย<_>จนแม่รู้สึกว่าถ้าปล่อยไว้แบบนี้คงไม่ดีแน่<_>ๆ<_>แม่จึงพยายามบอกให้หมูอ้วนกินให้น้อยลงและออกกำลังกายบ้างจะได้มีสุขภาพดี<_>แต่หมูอ้วนก็ไม่สนใจ<_>และตอบแม่ว่า<_>เสียเวลานอน<_>อยู่มาวันหนึ่งหมูอ้วนรู้สึกครั่นเนื้อครั่นตัวเหมือนจะไม่สบาย<_>แม่จึงเช็ดตัวให้หมูอ้วน<_>และให้หมูอ้วนนอนพักผ่อนพอนอนไปได้ซักพักหมูอ้วนก็ได้ยินเสียงปลุกให้ตื่น<_>แต่ใครจะเป็นคนปลุกและหมูอ้วนติดตามได้ในรายการ<ชื่อรายการ>
หนูจี๊ดเป็นหวัด,ณ<_>ป่าแสนสุขที่เต็มไปด้วยต้นไม้จำนวนมาก<_>เมื่อคืนฝนตกอย่างหนักทำให้มีอากาศเย็นและชุ่มชื้นไปทั่วป่า<_>เช้านี้จึงได้ยินเสียง<_>ฮัดเช้ย<_>ของสัตว์หลายตัวดังไปทั่วป่า<_>โดยเฉพาะที่โพรงไม้บ้านของหนูจี๊ดที่ฮัดเช้ยไม่ยอมหยุด<_>เพราะหนูจี๊ดเพิ่งกลับจากการไปว่ายน้ำเล่นกับเพื่อน<_>ๆ<_>ที่ลำธารใกล้<_>ๆ<_>เมื่อนกกระจอกบินเข้าไปใกล้กลับพบว่าหนูจี๊ดตัวร้อนมาก<_>นกกระจอกจึงตัดสินใจเรียกหน่วยพยาบาลทางอากาศของป่าคือพญาเหยี่ยวเพื่อนำหนูจี๊ดไปส่งโรงพยาบาล<_>หนูจี๊ดไม่อยากไปหาหมอ<_>แต่จะเพราะอะไรติดตามได้ในรายการ<ชื่อรายการ>
กวางน้อยแสนดี,กวางน้อยผู้แสนดีเป็นที่รักของเพื่อนสัตว์ในป่าเพราะกวางน้อยมีน้ำใจ<_>ชอบแบ่งปันและช่วยเหลือผู้อื่นเสมอ<_>อยู่มาวันหนึ่งกวางน้อยหิ้วตะกร้าใบใหญ่เดินเข้าไปในป่าเพื่อไปหาคุณยายกวาง<_>แต่ระหว่างทาง<_>มีเสือตัวหนึ่งบังเอิญมาพบกวางน้อยน้อยเข้า<_>เสือจอมเกเรจึงตรงเข้าไปหาเรื่องกวางน้อย<_>พร้อมกับแย่งตะกร้าอาหารมาจากกวางน้อยและสำรวจของในตะกร้า<_>กวางน้อยพยามขอคืนแต่เสือก็ไม่ยอมคืนกลับบอกว่าถ้าอยากได้ต้องทำตามคำสั่งของมันทุกอย่าง<_>และถ้าทำไม่ได้กวางน้อยต้องยอมเป็นอาหารของมัน<_>เสือจะให้กวางน้อยทำอะไรติดตามได้ในรายการ<ชื่อรายการ>
